timestamp,min,avg,max,mdev
2024-05-12 07:21:40,30.859,40.887,64.145,7.687
2024-05-12 07:22:41,22.655,36.972,68.546,12.363
2024-05-12 07:23:40,22.832,30.645,45.828,5.342
2024-05-12 07:24:40,23.848,41.152,60.490,10.235
2024-05-12 07:25:40,26.205,41.642,66.602,9.718
2024-05-12 07:26:40,20.815,33.060,63.483,8.782
2024-05-12 07:27:41,20.945,29.351,40.248,4.377
2024-05-12 07:29:40,21.583,31.649,45.518,4.874
2024-05-12 07:30:40,23.810,40.287,57.089,9.108
2024-05-12 07:31:40,23.593,33.568,53.476,6.835
2024-05-12 07:32:41,20.884,35.764,61.820,11.643
2024-05-12 07:33:40,22.108,32.297,42.043,5.055
2024-05-12 07:34:40,25.806,42.773,108.637,15.759
2024-05-12 07:35:40,20.430,37.236,53.758,8.295
2024-05-12 07:36:40,20.724,33.055,53.156,7.169
2024-05-12 07:37:41,23.186,32.358,44.539,6.149
2024-05-12 07:39:40,22.827,31.556,45.170,5.914
2024-05-12 07:40:40,22.800,32.749,57.456,8.421
2024-05-12 07:41:40,24.253,32.470,42.540,4.662
2024-05-12 07:42:42,22.341,35.206,57.238,8.178
2024-05-12 07:43:40,24.311,34.755,67.129,8.658
2024-05-12 07:44:40,23.722,43.546,114.717,19.159
2024-05-12 07:45:40,22.822,36.682,56.691,7.753
2024-05-12 07:46:40,24.109,33.892,44.946,5.553
2024-05-12 07:47:41,21.870,34.987,73.232,9.448
2024-05-12 07:49:40,21.089,33.370,61.469,7.816
2024-05-12 07:50:40,24.865,34.372,60.095,7.823
2024-05-12 07:51:40,23.832,36.068,55.599,7.697
2024-05-12 07:52:40,21.590,30.183,40.751,4.933
2024-05-12 07:53:40,21.315,31.630,45.463,5.438
2024-05-12 07:54:41,21.168,34.216,51.366,8.698
2024-05-12 07:55:40,21.072,38.531,101.430,12.819
2024-05-12 07:56:41,24.005,37.804,96.451,12.086
2024-05-12 07:57:42,22.755,29.822,36.724,3.702
2024-05-12 07:59:41,23.606,35.013,90.723,13.486
2024-05-12 08:00:41,23.285,38.270,96.874,13.602
2024-05-12 08:01:41,21.956,35.527,128.048,17.766
2024-05-12 08:02:42,21.516,32.527,50.974,7.463
2024-05-12 08:03:41,22.116,31.760,76.980,11.305
2024-05-12 08:04:41,21.014,33.997,87.650,12.600
2024-05-12 08:05:40,22.471,41.811,89.773,14.109
2024-05-12 08:06:40,22.240,37.082,80.070,11.271
2024-05-12 08:07:41,22.253,32.739,48.612,6.008
2024-05-12 08:09:40,21.543,32.300,42.713,5.056
2024-05-12 08:10:40,26.910,38.322,54.732,7.234
2024-05-12 08:11:40,21.780,35.835,83.505,10.673
2024-05-12 08:12:41,22.107,30.898,45.510,6.159
2024-05-12 08:13:40,23.956,36.956,50.749,7.632
2024-05-12 08:14:40,21.678,36.092,85.827,16.387
2024-05-12 08:15:40,24.420,38.336,72.670,9.307
2024-05-12 08:16:40,24.875,32.116,42.891,4.504
2024-05-12 08:17:40,21.296,30.729,54.058,6.452
2024-05-12 08:19:40,21.605,30.096,40.314,4.611
2024-05-12 08:20:40,20.369,31.503,48.109,6.622
2024-05-12 08:21:40,22.029,28.771,44.686,5.605
2024-05-12 08:22:41,22.775,31.547,59.209,7.367
2024-05-12 08:23:40,21.738,30.478,41.553,5.289
2024-05-12 08:24:40,22.581,37.037,77.988,10.616
2024-05-12 08:25:40,22.861,43.712,94.296,14.936
2024-05-12 08:26:40,24.212,42.721,87.770,14.687
2024-05-12 08:27:41,24.635,33.631,59.723,8.461
2024-05-12 08:29:40,24.036,33.233,46.422,6.043
2024-05-12 08:30:40,21.391,35.495,60.581,10.081
2024-05-12 08:31:40,21.937,35.903,55.037,8.052
2024-05-12 08:32:41,21.992,30.898,40.186,5.721
2024-05-12 08:33:40,22.266,30.879,39.815,4.607
2024-05-12 08:34:40,22.282,31.897,47.577,6.547
2024-05-12 08:35:40,21.706,31.587,62.710,7.092
2024-05-12 08:36:40,23.722,31.228,43.002,4.323
2024-05-12 08:37:41,21.157,28.540,42.503,6.106
2024-05-12 08:39:40,22.221,31.538,49.536,5.587
2024-05-12 08:40:40,22.529,35.932,56.095,8.018
2024-05-12 08:41:40,22.806,29.234,38.739,4.391
2024-05-12 08:42:41,21.590,33.282,50.550,7.265
2024-05-12 08:43:40,23.474,36.381,55.622,7.837
2024-05-12 08:44:40,20.461,33.731,48.619,5.514
2024-05-12 08:45:40,22.610,32.392,49.078,7.056
2024-05-12 08:46:40,21.466,31.048,75.833,9.908
